MaintenanceWMTraverse,
MaintenanceWMPrepareInspectionTools,Astronaut
MaintenanceWMApplyInspectionTools,Astronaut
MaintenanceWMGetInspectionUpdate,Humanoid
MaintenanceWMGiveInspectionUpdate,Astronaut
MaintenanceWMStoreInspectionTools,Astronaut
MaintenanceWMPrepareRepairTools,Humanoid
MaintenanceWMGetNewPanel,Astronaut
MaintenanceWMRemoveBrokenPanel,Humanoid
MaintenanceWMEmplaceNewPanel,Astronaut
MaintenanceWMDisposeOfBrokenPanel,Humanoid
MaintenanceWMStoreRepairTools,Astronaut
MaintenanceWMEnterDock,
MaintenanceWMLeaveDock,
